;BUNDLE_ATTRIBUTES;KEY_VALUE_EXPORT;SOLR_FACET;SOLR_SCORE;SOLR_SEARCHABLE;SOLR_SORT;SOLR_SUGGESTION;MANDATORY_ON_IMPORT
ATTRIBUTE_NAME;1;1;0;1;1;1;1;1
ATTRIBUTE_SHORT_DESCRIPTION;1;1;0;0;1;0;0;1
ATTRIBUTE_DESCRIPTION;1;1;0;0;1;0;0;1
ATTRIBUTE_TAX_RATE;1;1;0;0;0;0;0;1
ATTRIBUTE_BRAND;0;1;1;1;1;0;1;0
ATTRIBUTE_PAGE_TITLE;1;1;0;0;0;0;0;1
ATTRIBUTE_META_KEYWORDS;1;1;0;0;0;0;0;1
ATTRIBUTE_META_DESCRIPTION;1;1;0;0;0;0;0;1
ATTRIBUTE_MANUFACTURER_DESCRIPTION;1;1;0;0;1;0;0;1
ATTRIBUTE_URL;1;1;0;0;0;0;0;1
ATTRIBUTE_MATERIAL;0;1;1;0;1;0;1;1
